Область,Округ,Город/район,Район/нас пункт,№ участка,Ссылка
Могилевская,Могилевский областной Ленинский №6,Бобруйский,Бобруйск,5,https://whistlerapp.org/attachments/83b88907-c98b-47ab-83a9-5b00f3553191
Город Минск,Минский городской Каменогорский №35,Минск,Фрунзенский,79,"https://whistlerapp.org/attachments/907e8053-081f-453c-b2cc-4e82ca9ebae8
  https://whistlerapp.org/attachments/f904c5fa-e531-4fac-bbfd-866a70f1e618"
Город Минск,Минский городской Каменогорский №35,Минск,Фрунзенский,82,"https://whistlerapp.org/attachments/0fd2ca46-246b-448b-9917-6698b5d30a95
  https://whistlerapp.org/attachments/fb1bcae3-75eb-4678-ac46-c6badc6adf4b"
Могилевская,Могилевский областной Ленинский №6,Бобруйский,Бобруйск,8,https://whistlerapp.org/attachments/44a7ad06-e74f-4f85-b121-340adaf17473
Могилевская,Могилевский областной Ленинский №6,Бобруйский,Бобруйск,9,https://whistlerapp.org/attachments/bfac75be-1b88-49eb-97ad-3842186d822e
Город Минск,Минский городской Каменогорский №35,Минск,Фрунзенский,82,"https://whistlerapp.org/attachments/0fd2ca46-246b-448b-9917-6698b5d30a95
 https://whistlerapp.org/attachments/fb1bcae3-75eb-4678-ac46-c6badc6adf4b"
Город Минск,Минский городской Веснянковский №39,Минск,Центральный,2,https://whistlerapp.org/attachments/f185c2c8-402f-4d39-b1ed-13f56e809ac2; https://whistlerapp.org/attachments/be629daa-5ff2-4c95-8d79-a7107fa6ec22; https://whistlerapp.org/attachments/be629daa-5ff2-4c95-8d79-a7107fa6ec22; https://whistlerapp.org/attachments/be629daa-5ff2-4c95-8d79-a7107fa6ec22; https://whistlerapp.org/attachments/be629daa-5ff2-4c95-8d79-a7107fa6ec22
Город Минск,Минский городской Каменогорский №35,Минск,Фрунзенский,79,"https://whistlerapp.org/attachments/907e8053-081f-453c-b2cc-4e82ca9ebae8
  https://whistlerapp.org/attachments/f904c5fa-e531-4fac-bbfd-866a70f1e618"
Могилевская,Могилевский областной Ленинский №6,Бобруйский,Бобруйск,5,"https://whistlerapp.org/attachments/806420be-77ae-471d-9d2a-279075307b5d
  https://whistlerapp.org/attachments/83b88907-c98b-47ab-83a9-5b00f3553191"
Город Минск,Минский городской Каменогорский №35,Минск,Фрунзенский,86,"https://whistlerapp.org/attachments/46b9613c-7e5e-4b8d-905c-f5c67e3c133b
  https://whistlerapp.org/attachments/eebf20a5-4a15-4d10-ac42-e1d1af3af01e
  https://whistlerapp.org/attachments/c0a5a749-a420-451c-8529-40e59ae3a98e
  https://whistlerapp.org/attachments/8f3e5a1f-a21f-472b-95c4-80e604743125
  https://whistlerapp.org/attachments/d97a0b7e-7969-42d5-8698-399a2014cef3"
Город Минск,Минский городской Веснянковский №39,Минск,Центральный,1,"https://whistlerapp.org/attachments/27af93b5-b671-4cdc-9f37-a35747f6a01d
  https://whistlerapp.org/attachments/27976201-2d0c-493c-8323-629b5b621594"
Гомельская,Гомельский городской Южный №19,Гомель,Новобелицкий,28,"https://whistlerapp.org/attachments/776cabf0-8351-42f0-9b57-672930832649
  https://whistlerapp.org/attachments/030c41a0-d79a-47f8-9579-7f87fb460102"
Брестская,Брестский городской №25,Брест,Московский,79,"https://whistlerapp.org/attachments/981cda28-939b-462d-8cfd-bcd11491be35
  https://whistlerapp.org/attachments/500ffb19-fbd7-4996-8c35-e40f71be4b7e"
Могилевская,Могилевский областной Ленинский №6,Бобруйский,Бобруйск,6,"https://whistlerapp.org/attachments/8037ee1f-a57b-4a69-9b98-c931e1a75f21
  https://whistlerapp.org/attachments/3cca8cf1-c802-4f7b-bd8a-e8b481903194
  https://whistlerapp.org/attachments/9d4a284b-6f7d-4fe0-88fb-246c5f2865ce"
Брестская,Брестский городской №5,Брест,Ленинский,4,"https://whistlerapp.org/attachments/b1702c50-2681-4be4-bee5-3b0383df76b0
  https://whistlerapp.org/attachments/dba5e482-cbf3-425e-a69e-187f00d04cd9
  https://whistlerapp.org/attachments/f678828b-b8a1-4a90-aa1e-26d7a7bc6122
  https://whistlerapp.org/attachments/cc2bc2e9-f9a1-4a68-b728-56f6daef4072
  https://whistlerapp.org/attachments/68a73333-b684-497e-beea-d97effe7e9e6
  https://whistlerapp.org/attachments/ff44bec0-7c58-4ce5-8f94-eb2e5eca882f"
Город Минск,Минский городской Веснянковский №39,Минск,Центральный,52,"https://whistlerapp.org/attachments/ea4fd629-c27d-4822-b9e4-eb670b0d16a9
  https://whistlerapp.org/attachments/490711fe-8901-40e4-835f-c3d64c35047e"
Могилевская,Могилевский областной Ленинский №6,Бобруйский,Бобруйск,4,"https://whistlerapp.org/attachments/0bf12291-3ff2-42d0-91cc-e0c2debd55e2
  https://whistlerapp.org/attachments/c75fac51-4837-4807-b0d4-56b9a9920eb7
  https://whistlerapp.org/attachments/b2cb9716-e4ee-4fdb-a8c0-74d2f6e4b3e7"
Брестская,Брестский городской №25,Брест,Московский,80,"https://whistlerapp.org/attachments/97adb124-7897-49ca-90d8-097600dc15b9
  https://whistlerapp.org/attachments/309b2144-9db3-4e27-b65d-77eaf3f97127"
Брестская,Брестский городской №16,Брест,Московский,45,"https://whistlerapp.org/attachments/107545c8-6552-453c-9761-8589075ca921
  https://whistlerapp.org/attachments/eb913bc4-172f-4288-a0e9-2c6eabd98bcb"
Гомельская,Гомельский городской Южный №19,Гомель,Новобелицкий,26,https://whistlerapp.org/attachments/158e32c7-e82d-4361-9072-b44a60d2a25b
Гомельская,Гомельский городской Южный №19,Гомель,Новобелицкий,26,"https://whistlerapp.org/attachments/fcb4aad8-e5e8-488e-9a9d-e63eccf7973d
  https://whistlerapp.org/attachments/8011ae46-d6d8-4d7f-84c5-6f816206b820"
,Минский городской Веснянковский №39,Минск,Центральный,3,"https://whistlerapp.org/attachments/80691b04-2f6c-4a0d-8151-49896ec199db
  https://whistlerapp.org/attachments/d7746bf9-aece-4bde-9321-bfa4ce7bf64a"
Брестская,Брестский городской №5,Брест,Ленинский,4,"https://whistlerapp.org/attachments/eb35d319-6e5a-4d89-bf80-4d09e5dc96cd
  https://whistlerapp.org/attachments/100f4e01-e112-41b7-8452-6c2f35f33339
  https://whistlerapp.org/attachments/fbda8209-08cf-4021-b7a5-b9e5523862ea
  https://whistlerapp.org/attachments/51c8d20f-61b0-4bd1-a897-7aeaa747b95f
  https://whistlerapp.org/attachments/febd45e4-9b5f-4213-8924-5d94c19aaef5
  https://whistlerapp.org/attachments/f9e0e238-7029-4089-b67f-12ec942528f5"
Гомельская,Гомельский городской Южный №19,Гомель,Новобелицкий,27,"https://whistlerapp.org/attachments/fe6f8156-f42a-4542-a9d0-ca92530b7cdb
  https://whistlerapp.org/attachments/15c40be3-4301-4016-bb8d-3aae26f2b79f
  https://whistlerapp.org/attachments/71731bb9-3e84-4207-a9fe-3fc1ec1c112f"
Город Минск,Минский городской Веснянковский №39,Минск,Центральный,3,"https://whistlerapp.org/attachments/80691b04-2f6c-4a0d-8151-49896ec199db
  https://whistlerapp.org/attachments/d7746bf9-aece-4bde-9321-bfa4ce7bf64a"